candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
seq_80	93		530061	97.80	93
seq_81	93		248909	90.30	93
seq_82	93		4434579	100.00	93
seq_83	93		4413256	93.50	93
seq_84	93		529442	92.50	93
seq_85	93		1143742	90.30	93
seq_86	93		526745	97.80	93
seq_87	93		241543	89.20	93
seq_88	93		157054	97.80	93
seq_89	93		4404086	88.20	93
seq_90	93		181121	93.50	93
seq_91	93		259604	98.90	93
seq_92	93		350681	96.80	93
seq_93	93		186578	97.80	93
seq_94	93		586971	94.60	93
seq_95	93		193666	97.80	93
seq_96	93		197393	95.70	93
seq_97	93		196844	93.50	93
seq_98	93		191032	93.50	93
seq_99	93		350681	95.70	93
seq_100	93		193107	93.50	93
seq_101	93		530061	95.70	93
seq_102	93		199568	100.00	93
seq_103	93		4363681	95.70	93
seq_104	93		522863	96.80	93
seq_105	93		2157225	100.00	93
seq_106	93		289569	97.80	93
seq_107	93		3623262	90.30	93
seq_108	93		4413256	95.70	93
seq_109	93		4307670	86.00	93
seq_110	93		190084	94.60	93
seq_111	93		266421	90.30	93
seq_112	93		294289	89.20	93
seq_113	93		851865	96.80	93
seq_114	93		301630	94.60	93
seq_115	93		364903	100.00	93
seq_116	93		216235	97.80	93
seq_117	93		4399328	94.60	93
seq_118	93		215040	100.00	93
seq_119	93		248909	90.30	93
seq_120	93		293471	88.20	93
seq_121	93		851865	92.50	93
seq_122	93		932989	97.80	93
seq_123	93		4333921	93.50	93
seq_124	93		163874	86.00	93
seq_125	93		181121	94.60	93
seq_126	93		326374	96.80	93
seq_127	93		181986	96.80	93
seq_128	93		337993	98.90	93
seq_129	93		157054	98.90	93
seq_130	93		530323	89.20	93
seq_131	93		183186	91.40	93
seq_132	93		522863	95.70	93
seq_133	93		526745	92.50	93
seq_134	93		715138	100.00	93
seq_135	93		522863	93.50	93
seq_136	93		851822	90.30	93
seq_137	93		196844	98.90	93
seq_138	93		575681	96.80	93
seq_139	93		287907	97.80	93
seq_140	93		300853	93.50	93
seq_141	93		4333921	93.50	93
seq_142	93		514137	92.50	93
seq_143	93		193107	93.50	93
seq_144	93		4436545	93.50	93
seq_145	93		197460	95.70	93
seq_146	93		182857	97.80	93
seq_147	93		3589845	100.00	93
seq_148	93		495086	97.80	93
seq_149	93		347740	93.50	93
seq_150	93		3359884	98.90	93
seq_151	93		303217	92.50	93
seq_152	93		195325	94.60	93
seq_153	93		110660	97.80	93
seq_154	93		178438	97.80	93
seq_155	93		576010	97.80	93
seq_156	93		158718	89.20	93
seq_157	93		107161	84.90	93
seq_158	93		505549	100.00	93
seq_159	93		191183	95.70	93
seq_160	93		4329132	96.80	93
seq_161	93		347529	98.90	93
seq_162	93		289116	93.50	93
seq_163	93		73760	95.70	93
seq_164	93		301630	93.50	93
seq_165	93		182420	90.30	93
seq_166	93		191183	94.60	93
seq_167	93		919014	94.60	93
seq_168	93		586971	94.60	93
seq_169	93		263546	95.70	93
seq_170	93		4434334	100.00	93
seq_171	93		511724	91.40	93
seq_172	93		300457	97.80	93
seq_173	93		350681	95.70	93
seq_174	93		3792581	94.60	93
seq_175	93		4453550	100.00	93
seq_176	93		290002	91.40	93
seq_177	93		568677	84.90	93
seq_178	93		559954	100.00	93
seq_179	93		580377	89.20	93
seq_180	93		191032	91.40	93
seq_181	93		4413256	96.80	93
seq_182	93		567229	93.50	93
seq_183	93		2088685	89.20	93
seq_184	93		4427000	87.10	93
seq_185	93		529442	88.20	93
seq_186	93		328816	89.20	93
seq_187	93		263546	96.80	93
seq_188	93		266484	91.40	93
seq_189	93		197393	94.60	93
seq_190	93		904322	88.20	93
seq_191	93		139337	87.10	93
seq_192	93		240970	87.10	93
seq_193	93		126133	100.00	93
seq_194	93		337993	96.80	93
seq_195	93		529506	93.50	93
seq_196	93		529506	92.50	93
seq_197	93		314638	86.00	93
seq_198	93		241543	89.20	93
seq_199	93		552779	98.90	93
seq_200	93		4363681	95.70	93
seq_201	93		185940	94.60	93
seq_202	93		715138	90.30	93
seq_203	93		111066	97.80	93
seq_204	93		190084	97.80	93
seq_205	93		246308	86.00	93
seq_206	93		4337970	96.80	93
seq_207	93		126133	96.80	93
seq_208	93		189279	90.30	93
seq_209	93		330451	96.80	93
seq_210	93		250302	93.50	93
seq_211	93		246308	88.20	93
seq_212	93		4399328	97.80	93
seq_213	93		303217	93.50	93
seq_214	93		366392	91.40	93
seq_215	93		263546	92.50	93
seq_216	93		4141532	92.50	93
seq_217	93		328816	92.50	93
seq_218	93		3479426	92.50	93
seq_219	93		1839271	94.60	93
seq_220	93		530323	91.40	93
seq_221	93		182420	90.30	93
seq_222	93		4358761	94.60	93
seq_223	93		4141532	92.50	93
seq_224	93		4141532	100.00	93
seq_225	93		248909	90.30	93
seq_226	93		215040	92.50	93
seq_227	93		266484	90.30	93
seq_228	93		301109	91.40	93
seq_229	93		1143648	83.90	93
seq_230	93		2594571	91.40	93
seq_231	93		193666	94.60	93
seq_232	93		4413327	100.00	93
seq_233	93		215040	91.40	93
seq_234	93		309099	91.40	93
seq_235	93		337993	91.40	93
seq_236	93		194286	97.80	93
seq_237	93		586971	96.80	93
seq_238	93		191183	93.50	93
seq_239	93		189035	100.00	93
seq_240	93		287907	90.30	93
seq_241	93		158404	98.90	93
seq_242	93		589920	86.00	93
seq_243	93		4303992	88.20	93
seq_244	93		2594574	89.20	93
seq_245	93		366392	88.20	93
seq_246	93		589920	84.90	93
seq_247	93		175358	95.70	93
seq_248	93		4399328	96.80	93
seq_249	93		197393	93.50	93
seq_250	93		368639	92.50	93
seq_251	93		309099	90.30	93
seq_252	93	No search results.
seq_253	93		294289	87.10	93
seq_254	93		4336516	98.90	93
seq_255	93		580168	93.50	93
seq_256	93		503372	98.90	93
seq_257	93		240970	88.20	93
seq_258	93		697063	98.90	93
seq_259	93		303937	96.80	93
seq_260	93		693613	95.70	93
seq_261	93		270418	92.50	93
seq_262	93		4483176	95.70	93
seq_263	93		1117319	98.90	93
seq_264	93		518033	100.00	93
seq_265	93		529506	95.70	93
seq_266	93		4413327	93.50	93
seq_267	93		325539	95.70	93
seq_268	93		2475156	87.10	93
seq_269	93		341823	93.50	93
seq_270	93		294289	95.70	93
seq_271	93		265524	95.70	93
seq_272	93		3302038	90.30	93
seq_273	93		4403574	94.60	93
seq_274	93		325539	96.80	93
seq_275	93		726047	90.30	93
seq_276	93		551008	95.70	93
seq_277	93		4141532	98.90	93
seq_278	93		297202	94.60	93
seq_279	93		511724	95.70	93
seq_280	93		180402	98.90	93
seq_281	93		2750805	88.20	93
seq_282	93		4365208	91.40	93
seq_283	93		773586	95.70	93
seq_284	93		576010	96.80	93
seq_285	93		3359884	100.00	93
seq_286	93		4453550	89.20	93
seq_287	93		529491	87.10	93
seq_288	93		302431	95.70	93
seq_289	93		192222	87.10	93
seq_290	93		4229175	91.40	93
seq_291	93		337993	94.60	93
seq_292	93		3302038	97.80	93
seq_293	93		158718	90.30	93
seq_294	93		173306	93.50	93
seq_295	93		551008	94.60	93
seq_296	93		4141532	92.50	93
seq_297	93		4438565	100.00	93
seq_298	93		335759	97.80	93
seq_299	93		4406763	97.80	93
seq_300	93		4358107	95.70	93
seq_301	93		196984	88.20	93
seq_302	93		294289	88.20	93
seq_303	93		159007	95.70	93
seq_304	93		4465473	94.60	93
seq_305	93		190084	92.50	93
seq_306	93		328816	88.20	93
seq_307	93		263546	94.60	93
seq_308	93		289407	94.60	93
seq_309	93		4289859	98.90	93
seq_310	93		14283	89.20	93
seq_311	93		35786	95.70	93
seq_312	93		248909	88.20	93
seq_313	93		4359916	97.80	93
seq_314	93		4342143	92.50	93
seq_315	93		567229	95.70	93
seq_316	93		4423236	100.00	93
seq_317	93		904322	88.20	93
seq_318	93		153647	88.20	93
seq_319	93		269248	93.50	93
seq_320	93		4399328	91.40	93
seq_321	93		182420	90.30	93
seq_322	93		179663	91.40	93
seq_323	93		294289	91.40	93
seq_324	93		289569	96.80	93
seq_325	93		14283	90.30	93
seq_326	93		2594571	90.30	93
seq_327	93		668513	91.40	93
seq_328	93		113924	94.60	93
seq_329	93		176499	92.50	93
seq_330	93		190084	96.80	93
seq_331	93		144333	91.40	93
seq_332	93		309099	90.30	93
seq_333	93		182420	83.90	93
seq_334	93		215040	93.50	93
seq_335	93		825815	91.40	93
seq_336	93		4336516	100.00	93
seq_337	93		4229175	90.30	93
seq_338	93		245228	77.40	93
seq_339	93		181121	89.20	93
seq_340	93		197393	94.60	93
seq_341	93		179663	92.50	93
seq_342	93		3302038	100.00	93
seq_343	93		4455886	96.80	93
seq_344	93		195674	93.50	93
seq_345	93		651100	97.80	93
seq_346	93		589920	83.90	93
seq_347	93		716416	94.60	93
seq_348	93		831195	91.40	93
seq_349	93		4141532	94.60	93
seq_350	93		195496	87.10	93
seq_351	93		303571	96.80	93
seq_352	93		294289	98.90	93
seq_353	93		368639	93.50	93
seq_354	93		624542	93.50	93
seq_355	93		237889	95.70	93
seq_356	93		303571	96.80	93
seq_357	93		624542	86.00	93
seq_358	93		224379	94.60	93
seq_359	93		4482284	90.30	93
seq_360	93		529506	91.40	93
seq_361	93		158611	93.50	93
seq_362	93		290285	84.90	93
seq_363	93		831195	89.20	93
seq_364	93		266484	96.80	93
seq_365	93		126133	95.70	93
seq_366	93		4333921	98.90	93
seq_367	93		73760	96.80	93
seq_368	93		516809	98.90	93
seq_369	93		186510	94.60	93
seq_370	93		97301	87.10	93
seq_371	93		325539	91.40	93
seq_372	93		267071	86.00	93
seq_373	93		578707	90.30	93
seq_374	93		311952	94.60	93
seq_375	93		263546	95.70	93
seq_376	93		151902	87.10	93
seq_377	93		190084	95.70	93
seq_378	93		265524	93.50	93
seq_379	93		3232988	96.80	93
seq_380	93		568309	92.50	93
seq_381	93		321924	87.10	93
seq_382	93		3479426	93.50	93
seq_383	93		4303992	89.20	93
seq_384	93		904322	82.80	93
seq_385	93		301880	92.50	93
seq_386	93		215040	97.80	93
seq_387	93		529501	100.00	93
seq_388	93		3479426	91.40	93
seq_389	93		4413327	94.60	93
seq_390	93		4312480	83.90	93
seq_391	93		495086	98.90	93
seq_392	93		1118969	88.20	93
seq_393	93		4465473	91.40	93
seq_394	93		3268451	95.70	93
seq_395	93		514182	94.60	93
seq_396	93		250302	95.70	93
seq_397	93		292725	92.50	93
seq_398	93		501876	100.00	93
seq_399	93		190084	95.70	93
seq_400	93		235800	94.60	93
seq_401	93		325539	94.60	93
seq_402	93		289174	96.80	93
seq_403	93		328816	94.60	93
seq_404	93		328816	87.10	93
seq_405	93		330451	92.50	93
seq_406	93		176499	93.50	93
seq_407	93		267071	89.20	93
seq_408	93		580377	95.70	93
seq_409	93		575681	88.20	93
seq_410	93		1129768	90.30	93
seq_411	93		295070	98.90	93
seq_412	93		4141532	97.80	93
seq_413	93		4229175	88.20	93
seq_414	93		708925	95.70	93
seq_415	93		180402	91.40	93
seq_416	93	No search results.
seq_417	93		326374	94.60	93
seq_418	93		179095	100.00	93
seq_419	93		303937	94.60	93
seq_420	93		319260	95.70	93
seq_421	93		3692061	95.70	93
seq_422	93		2626509	91.40	93
seq_423	93		2475156	95.70	93
seq_424	93		4439488	84.90	93
seq_425	93		176582	93.50	93
seq_426	93		624542	91.40	93
seq_427	93		4379140	84.90	93
seq_428	93		179663	89.20	93
seq_429	93		4472482	89.20	93
seq_430	93		4323733	90.30	93
seq_431	93		3302038	90.30	93
seq_432	93		182420	95.70	93
seq_433	93		290908	95.70	93
seq_434	93		292203	96.80	93
seq_435	93		198417	96.80	93
seq_436	93		919014	84.90	93
seq_437	93		362948	100.00	93
seq_438	93		2157225	98.90	93
seq_439	93		810847	93.50	93
seq_440	93		4403574	93.50	93
seq_441	93		589504	100.00	93
seq_442	93		4340746	92.50	93
seq_443	93		3232988	100.00	93
seq_444	93		849723	96.80	93
seq_445	93		4141532	93.50	93
seq_446	93		270418	95.70	93
seq_447	93		319260	93.50	93
seq_448	93		182420	92.50	93
seq_449	93		158404	91.40	93
seq_450	93		4457931	86.00	93
seq_451	93		301109	92.50	93
seq_452	93		4363681	94.60	93
seq_453	93		545371	94.60	93
seq_454	93		157054	89.20	93
seq_455	93		4453550	89.20	93
seq_456	93		268693	92.50	93
seq_457	93		215040	91.40	93
seq_458	93		263546	91.40	93
seq_459	93		189279	91.40	93
seq_460	93		267071	87.10	93
seq_461	93		126133	96.80	93
seq_462	93		325539	95.70	93
seq_463	93		503372	100.00	93
seq_464	93	No search results.
seq_465	93		530061	94.60	93
seq_466	93		4141532	90.30	93
seq_467	93		144333	92.50	93
seq_468	93		224379	90.30	93
seq_469	93		4307887	96.80	93
seq_470	93		805185	90.30	93
seq_471	93	No search results.
seq_472	93		255053	95.70	93
seq_473	93		355100	97.80	93
seq_474	93		755474	92.50	93
seq_475	93		1513052	88.20	93
seq_476	93		851865	90.30	93
seq_477	93		352906	98.90	93
seq_478	93		309030	100.00	93
seq_479	93		134265	98.90	93
seq_480	93		4229175	89.20	93
seq_481	93		529501	92.50	93
seq_482	93		215040	97.80	93
seq_483	93		4141532	93.50	93
seq_484	93		153647	98.90	93
seq_485	93		503372	98.90	93
seq_486	93		531428	86.00	93
seq_487	93		4329132	91.40	93
seq_488	93		297202	89.20	93
seq_489	93		4413327	96.80	93
seq_490	93		293471	89.20	93
seq_491	93		4423236	95.70	93
seq_492	93		3479426	94.60	93
seq_493	93		194106	98.90	93
seq_494	93		191849	93.50	93
seq_495	93		263546	95.70	93
seq_496	93		305127	91.40	93
seq_497	93		215040	95.70	93
seq_498	93		4399328	92.50	93
seq_499	93		174924	100.00	93
seq_500	93		4323733	89.20	93
seq_501	93		263546	92.50	93
seq_502	93		181121	93.50	93
seq_503	93		529491	86.00	93
seq_504	93		196984	86.00	93
seq_505	93	No search results.
seq_506	93		14283	92.50	93
seq_507	93		366392	90.30	93
seq_508	93		267071	89.20	93
seq_509	93		267007	86.00	93
seq_510	93		3479426	92.50	93
seq_511	93		263546	96.80	93
seq_512	93		340665	90.30	93
seq_513	93		132657	91.40	93
seq_514	93		97301	98.90	93
seq_515	93		297202	96.80	93
seq_516	93	No search results.
seq_517	93	No search results.
seq_518	93		176582	94.60	93
seq_519	93		4450538	89.20	93
seq_520	93		3943376	92.50	93
seq_521	93		3302038	92.50	93
seq_522	93		301994	87.10	93
seq_523	93		198417	93.50	93
seq_524	93		3359884	97.80	93
seq_525	93		3359884	97.80	93
seq_526	93		235800	93.50	93
seq_527	93		144239	92.50	93
seq_528	93		697063	95.70	93
seq_529	93		337993	96.80	93
seq_530	93		851865	93.50	93
seq_531	93		561112	90.30	93
seq_532	93		742320	94.60	93
seq_533	93		4303992	86.00	93
seq_534	93		4403574	92.50	93
seq_535	93		4465473	95.70	93
seq_536	93		4453725	93.50	93
seq_537	93		14283	87.10	93
seq_538	93		503372	98.90	93
seq_539	93		1146188	96.80	93
seq_540	93		319260	94.60	93
seq_541	93		555844	96.80	93
seq_542	93		199568	95.70	93
seq_543	93		295070	89.20	93
seq_544	93		3792581	92.50	93
seq_545	93		3943376	90.30	93
seq_546	93		335759	96.80	93
seq_547	93		3807100	100.00	93
seq_548	93		14283	90.30	93
seq_549	93		261187	92.50	93
seq_550	93		668513	92.50	93
seq_551	93		3792581	90.30	93
seq_552	93	No search results.
seq_553	93		527630	100.00	93
seq_554	93		337993	94.60	93
seq_555	93		295070	97.80	93
seq_556	93		289730	97.80	93
seq_557	93		12562	100.00	93
seq_558	93		3792581	88.20	93
seq_559	93		4303992	84.90	93
seq_560	93		309099	93.50	93
seq_561	93		266913	87.10	93
seq_562	93		4434334	95.70	93
seq_563	93	No search results.
seq_564	93		215040	91.40	93
seq_565	93		177228	90.30	93
seq_566	93		4333921	93.50	93
seq_567	93		181717	84.90	93
seq_568	93		3807100	97.80	93
seq_569	93		529501	94.60	93
seq_570	93		3359884	97.80	93
seq_571	93		3133367	87.10	93
seq_572	93		224379	91.40	93
seq_573	93		287907	87.10	93
seq_574	93		1141500	82.80	93
seq_575	93	No search results.
seq_576	93		2475156	94.60	93
seq_577	93		259771	93.50	93
seq_578	93		267071	89.20	93
seq_579	93		322376	87.10	93
seq_580	93		851822	95.70	93
seq_581	93		529501	95.70	93
seq_582	93		530061	96.80	93
seq_583	93		250302	98.90	93
seq_584	93		869796	100.00	93
seq_585	93		216235	98.90	93
seq_586	93		173306	92.50	93
seq_587	93		14283	89.20	93
seq_588	93		4335376	87.10	93
seq_589	93		4141532	97.80	93
seq_590	93		35786	95.70	93
seq_591	93		303574	87.10	93
seq_592	93		4358107	95.70	93
seq_593	93		97301	97.80	93
seq_594	93	No search results.
seq_595	93		3807100	98.90	93
seq_596	93		295070	92.50	93
seq_597	93		3359884	94.60	93
seq_598	93	No search results.
seq_599	93		3689413	92.50	93
seq_600	93		503372	97.80	93
seq_601	93		3792581	90.30	93
seq_602	93		524633	100.00	93
seq_603	93		87318	91.40	93
seq_604	93		4329132	79.60	93
seq_605	93		166429	95.70	93
seq_606	93		192234	98.90	93
seq_607	93	No search results.
seq_608	93		263546	95.70	93
seq_609	93	No search results.
seq_610	93		904322	83.90	93
seq_611	93		14283	91.40	93
seq_612	93		4474173	92.50	93
seq_613	93		341823	90.30	93
seq_614	93		3807100	97.80	93
seq_615	93		14283	90.30	93
seq_616	93		93199	97.80	93
seq_617	93		3807100	96.80	93
seq_618	93		3792581	90.30	93
seq_619	93		4331006	88.20	93
seq_620	93		569216	88.20	93
seq_621	93		356075	90.30	93
seq_622	93		340397	95.70	93
seq_623	93		176499	88.20	93
seq_624	93		362948	86.00	93
seq_625	93	No search results.
seq_626	93		186510	94.60	93
seq_627	93		575681	87.10	93
seq_628	93		194286	88.20	93
seq_629	93		2977445	86.00	93
seq_630	93		1146188	97.80	93
seq_631	93		246308	91.40	93
seq_632	93	No search results.
seq_633	93		3792581	90.30	93
seq_634	93		825815	93.50	93
seq_635	93		295070	98.90	93
seq_636	93		293471	90.30	93
seq_637	93		180402	95.70	93
seq_638	93		4141532	95.70	93
seq_639	93		196844	88.20	93
seq_640	93		3792581	92.50	93
seq_641	93		190084	95.70	93
seq_642	93		3359884	98.90	93
seq_643	93		176499	86.00	93
seq_644	93		267071	88.20	93
seq_645	93		297638	100.00	93
seq_646	93		834065	100.00	93
seq_647	93		303574	86.00	93
seq_648	93	No search results.
seq_649	93		366392	90.30	93
seq_650	93		4413327	93.50	93
seq_651	93		97301	93.50	93
seq_652	93		290908	93.50	93
seq_653	93		3302038	95.70	93
seq_654	93	No search results.
seq_655	93		3807100	96.80	93
seq_656	93		331425	93.50	93
seq_657	93		224379	89.20	93
seq_658	93		531428	86.00	93
seq_659	93		14283	88.20	93
seq_660	93		238388	97.80	93
seq_661	93		3359884	95.70	93
seq_662	93		4399328	93.50	93
seq_663	93		292203	95.70	93
seq_664	93		3359884	96.80	93
seq_665	93	No search results.
seq_666	93	No search results.
seq_667	93		586971	95.70	93
seq_668	93		1124893	96.80	93
seq_669	93		150483	93.50	93
seq_670	93		3792581	92.50	93
seq_671	93		3699308	87.10	93
seq_672	93		742320	93.50	93
seq_673	93		3359884	95.70	93
seq_674	93		3792581	91.40	93
seq_675	93		180402	91.40	93
seq_676	93		697063	94.60	93
seq_677	93		851865	90.30	93
seq_678	93		165732	92.50	93
seq_679	93		4335376	90.30	93
seq_680	93		4406763	96.80	93
seq_681	93		3807100	96.80	93
seq_682	93	No search results.
seq_683	93		3359884	95.70	93
seq_684	93	No search results.
seq_685	93		4382457	97.80	93
seq_686	93		3464844	87.10	93
seq_687	93		4456735	95.70	93
seq_688	93		3792581	90.30	93
seq_689	93		166429	94.60	93
seq_690	93		851865	89.20	93
seq_691	93		3807100	96.80	93
seq_692	93		3792581	91.40	93
seq_693	93		180402	90.30	93
seq_694	93		37026	90.30	93
seq_695	93		246308	87.10	93
seq_696	93		4466135	82.80	93
seq_697	93	No search results.
seq_698	93		4307887	96.80	93
seq_699	93		343009	88.20	93
seq_700	93		516285	90.30	93
seq_701	93		3807100	97.80	93
seq_702	93		191183	94.60	93
seq_703	93		4382457	87.10	93
seq_704	93		178438	89.20	93
seq_705	93		575681	92.50	93
seq_706	93		576010	98.90	93
seq_707	93		3807100	93.50	93
seq_708	93		232927	96.80	93
seq_709	93		267071	89.20	93
seq_710	93		330831	93.50	93
seq_711	93	No search results.
seq_712	93		3792581	92.50	93
seq_713	93		267071	92.50	93
seq_714	93		1141500	84.90	93
seq_715	93		293471	93.50	93
seq_716	93	No search results.
seq_717	93	No search results.
seq_718	93	No search results.
seq_719	93		174924	91.40	93
seq_720	93		4382457	86.00	93
seq_721	93		742320	95.70	93
seq_722	93		3807100	96.80	93
seq_723	93	No search results.
seq_724	93		140910	91.40	93
seq_725	93		3792581	91.40	93
seq_726	93	No search results.
seq_727	93		303574	86.00	93
seq_728	93		945326	93.50	93
seq_729	93		322340	89.20	93
seq_730	93	No search results.
seq_731	93		3689413	90.30	93
seq_732	93		3792581	91.40	93
seq_733	93	No search results.
seq_734	93		194106	96.80	93
seq_735	93		4403574	89.20	93
seq_736	93		176499	86.00	93
seq_737	93	No search results.
seq_738	93	No search results.
seq_739	93		575681	86.00	93
seq_740	93		301984	94.60	93
seq_741	93		4434334	96.80	93
seq_742	93		28429	83.90	93
seq_743	93		4423236	97.80	93
seq_744	93		3359884	93.50	93
seq_745	93		238388	98.90	93
seq_746	93		520632	78.50	93
seq_747	93		1121421	91.40	93
seq_748	93	No search results.
seq_749	93		693613	76.30	93
seq_750	93		3692061	90.30	93
seq_751	93		4289859	97.80	93
seq_752	93	No search results.
seq_753	93		191849	92.50	93
seq_754	93		290908	94.60	93
seq_755	93		126133	95.70	93
seq_756	93		337993	91.40	93
seq_757	93		1130573	90.30	93
seq_758	93	No search results.
seq_759	93		4413327	95.70	93
seq_760	93	No search results.
seq_761	93		4304452	97.80	93
seq_762	93		3792581	91.40	93
seq_763	93		3792581	90.30	93
seq_764	93		33696	92.50	93
seq_765	93	No search results.
seq_766	93		237889	93.50	93
seq_767	93	No search results.
seq_768	93		3792581	89.20	93
seq_769	93	No search results.
seq_770	93		3302038	89.20	93
seq_771	93		178438	91.40	93
seq_772	93		3792581	91.40	93
seq_773	93	No search results.
seq_774	93		193666	98.90	93
seq_775	93		1148027	97.80	93
seq_776	93	No search results.
seq_777	93		555844	94.60	93
seq_778	93		3807100	96.80	93
seq_779	93		33696	96.80	93
seq_780	93		269248	86.00	93
seq_781	93		267071	89.20	93
seq_782	93		2840201	92.50	93
seq_783	93		366392	87.10	93
seq_784	93		3464844	89.20	93
seq_785	93		195674	92.50	93
seq_786	93	No search results.
seq_787	93	No search results.
seq_788	93		4455886	95.70	93
seq_789	93		1117319	95.70	93
seq_790	93		267071	90.30	93
seq_791	93	No search results.
seq_792	93	No search results.
seq_793	93		294289	90.30	93
seq_794	93		4338161	91.40	93
seq_795	93	No search results.
seq_796	93		3359884	93.50	93
seq_797	93		724147	88.20	93
seq_798	93		267071	91.40	93
seq_799	93		73760	94.60	93
seq_800	93		511724	93.50	93
seq_801	93		756593	95.70	93
seq_802	93		4352887	94.60	93
seq_803	93		4365249	89.20	93
seq_804	93		158404	97.80	93
seq_805	93		259604	86.00	93
seq_806	93		267071	93.50	93
seq_807	93		294399	96.80	93
seq_808	93	No search results.
seq_809	93		3359884	90.30	93
seq_810	93		294289	89.20	93
seq_811	93		3359884	98.90	93
seq_812	93		201562	96.80	93
seq_813	93		301630	93.50	93
seq_814	93	No search results.
seq_815	93		325539	94.60	93
seq_816	93		4352887	93.50	93
seq_817	93	No search results.
seq_818	93	No search results.
seq_819	93	No search results.
seq_820	93		3807100	96.80	93
seq_821	93		305127	91.40	93
seq_822	93	No search results.
seq_823	93		3479426	91.40	93
seq_824	93	No search results.
seq_825	93		174924	92.50	93
seq_826	93		126133	91.40	93
seq_827	93		95836	91.40	93
seq_828	93		301630	92.50	93
seq_829	93	No search results.
seq_830	93		3807100	93.50	93
seq_831	93		4314518	96.80	93
seq_832	93	No search results.
seq_833	93		290002	86.00	93
seq_834	93		224379	92.50	93
seq_835	93		301984	91.40	93
seq_836	93		575681	91.40	93
seq_837	93		551008	94.60	93
seq_838	93		307036	91.40	93
seq_839	93		356075	94.60	93
seq_840	93		195674	84.90	93
seq_841	93		851865	90.30	93
seq_842	93	No search results.
seq_843	93		993578	90.30	93
seq_844	93		4338161	88.20	93
seq_845	93	No search results.
seq_846	93		324328	91.40	93
seq_847	93		4323733	98.90	93
seq_848	93		328816	88.20	93
seq_849	93		3479426	94.60	93
seq_850	93	No search results.
seq_851	93	No search results.
seq_852	93		4436545	75.30	93
seq_853	93		352389	92.50	93
seq_854	93		651100	97.80	93
seq_855	93		158415	92.50	93
seq_856	93		4319691	95.70	93
seq_857	93		293471	82.80	93
seq_858	93	No search results.
seq_859	93		319870	96.80	93
seq_860	93		516285	89.20	93
seq_861	93		586971	95.70	93
seq_862	93		4376730	88.20	93
seq_863	93		526745	78.50	93
seq_864	93		1124893	94.60	93
seq_865	93		3807100	96.80	93
seq_866	93		4456252	98.90	93
seq_867	93		4413327	96.80	93
seq_868	93		176582	92.50	93
