candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
12574 seq_273	93		4403574	94.60	93
127870 seq_672	93		742320	93.50	93
128382 seq_400	93		235800	94.60	93
130040 seq_932	93		207114	87.10	93
130763 seq_487	93		4329132	91.40	93
131702 seq_759	93		4413327	95.70	93
134265 seq_479	93		134265	98.90	93
134786 seq_223	93		4141532	92.50	93
136049 seq_592	93		4358107	95.70	93
136518 seq_1129	93		272239	89.20	93
138179 seq_148	93		495086	97.80	93
141564 seq_745	93		238388	98.90	93
141764 seq_706	93		576010	98.90	93
142658 seq_367	93		73760	96.80	93
14280 seq_310	93		14283	89.20	93
143462 seq_1010	93		222706	95.70	93
143802 seq_585	93		216235	98.90	93
143958 seq_297	93		4438565	100.00	93
144452 seq_964	93		364760	98.90	93
144589 seq_721	93		742320	95.70	93
145236 seq_138	93		575681	96.80	93
145619 seq_103	93		4363681	95.70	93
145801 seq_535	93		4465473	95.70	93
146007 seq_1206	93		4437183	92.50	93
146586 seq_172	93		300457	97.80	93
147100 seq_456	93		268693	92.50	93
147484 seq_348	93		831195	91.40	93
147486 seq_441	93		589504	100.00	93
148279 seq_238	93		191183	93.50	93
148354 seq_201	93		185940	94.60	93
149122 seq_1225	93		1818901	92.50	93
1504042 seq_165	93		182420	90.30	93
150425 seq_1074	93		4413256	96.80	93
150477 seq_484	93		153647	98.90	93
152125 seq_855	93		158415	92.50	93
152450 seq_318	93		153647	88.20	93
154174 seq_885	93		352389	92.50	93
15728 seq_354	93		624542	93.50	93
157338 seq_66	93		159007	97.80	93
157453 seq_227	93		266484	90.30	93
157772 seq_458	93		263546	91.40	93
158222 seq_1012	93		2626509	90.30	93
160102 seq_667	93		586971	95.70	93
162149 seq_871	93		352389	100.00	93
162491 seq_189	93		197393	94.60	93
162650 seq_646	93		834065	100.00	93
16340 seq_62	93		294709	93.50	93
163494 seq_196	93		529506	92.50	93
163648 seq_918	93		302470	93.50	93
164430 seq_14	93		4436545	97.80	93
164523 seq_761	93		4304452	97.80	93
166689 seq_322	93		179663	91.40	93
167735 seq_908	93		268559	94.60	93
168071 seq_219	93		1839271	94.60	93
168289 seq_162	93		289116	93.50	93
1696853 seq_299	93		4406763	97.80	93
171126 seq_775	93		1148027	97.80	93
172233 seq_879	93		268693	86.00	93
1722623 seq_389	93		4413327	94.60	93
172878 seq_926	93		301630	92.50	93
173746 seq_811	93		3359884	98.90	93
173773 seq_39	93		310215	98.90	93
173851 seq_197	93		314638	86.00	93
173876 seq_21	93		693613	97.80	93
173917 seq_195	93		529506	93.50	93
173965 seq_186	93		328816	89.20	93
174174 seq_239	93		189035	100.00	93
174353 seq_56	93		289730	98.90	93
174516 seq_202	93		715138	90.30	93
174695 seq_374	93		311952	94.60	93
174885 seq_988	93		178438	89.20	93
174924 seq_499	93		174924	100.00	93
175036 seq_90	93		181121	93.50	93
1756253 seq_240	93		287907	90.30	93
175630 seq_388	93		3479426	91.40	93
176062 seq_194	93		337993	96.80	93
176077 seq_259	93		303937	96.80	93
176312 seq_41	93		181121	96.80	93
177037 seq_159	93		191183	95.70	93
177039 seq_433	93		290908	95.70	93
177047 seq_344	93		195674	93.50	93
177179 seq_1053	93		93487	87.10	93
177478 seq_246	93		589920	84.90	93
177600 seq_358	93		224379	94.60	93
177697 seq_323	93		294289	91.40	93
177731 seq_840	93		195674	84.90	93
177828 seq_305	93		190084	92.50	93
177975 seq_960	93		742320	95.70	93
178082 seq_129	93		157054	98.90	93
178183 seq_565	93		177228	90.30	93
178242 seq_315	93		567229	95.70	93
178478 seq_58	93		529442	91.40	93
178612 seq_135	93		522863	93.50	93
178759 seq_379	93		3232988	96.80	93
178773 seq_401	93		325539	94.60	93
178845 seq_267	93		325539	95.70	93
178970 seq_915	93		760848	95.70	93
178996 seq_360	93		529506	91.40	93
179201 seq_470	93		805185	90.30	93
179499 seq_987	93		4430730	84.90	93
179601 seq_477	93		352906	98.90	93
179744 seq_261	93		270418	92.50	93
179864 seq_476	93		851865	90.30	93
179989 seq_439	93		810847	93.50	93
180112 seq_130	93		530323	89.20	93
1803030 seq_104	93		522863	96.80	93
180421 seq_191	93		139337	87.10	93
180468 seq_187	93		263546	96.80	93
180974 seq_586	93		173306	92.50	93
181074 seq_720	93		4382457	86.00	93
181174 seq_382	93		3479426	93.50	93
181432 seq_18	93		300853	92.50	93
181452 seq_890	93		529506	94.60	93
181468 seq_242	93		589920	86.00	93
181862 seq_182	93		567229	93.50	93
182044 seq_421	93		3692061	95.70	93
182073 seq_100	93		193107	93.50	93
183296 seq_96	93		197393	95.70	93
183439 seq_59	93		325539	93.50	93
1835985 seq_641	93		190084	95.70	93
183650 seq_815	93		325539	94.60	93
183715 seq_180	93		191032	91.40	93
183798 seq_116	93		216235	97.80	93
183827 seq_870	93		35786	97.80	93
183829 seq_203	93		111066	97.80	93
184211 seq_1059	93		327358	92.50	93
184394 seq_132	93		522863	95.70	93
184534 seq_705	93		575681	92.50	93
185420 seq_71	93		2594571	92.50	93
185558 seq_493	93		194106	98.90	93
185593 seq_89	93		4404086	88.20	93
185622 seq_428	93		179663	89.20	93
186255 seq_369	93		186510	94.60	93
186272 seq_739	93		575681	86.00	93
186321 seq_74	93		176582	92.50	93
186851 seq_331	93		144333	91.40	93
187780 seq_139	93		287907	97.80	93
187879 seq_1143	93		4437183	93.50	93
188881 seq_442	93		4340746	92.50	93
188966 seq_404	93		328816	87.10	93
189076 seq_222	93		4358761	94.60	93
189820 seq_639	93		196844	88.20	93
190233 seq_289	93		192222	87.10	93
1903534 seq_507	93		366392	90.30	93
191553 seq_462	93		325539	95.70	93
191718 seq_29	93		755474	93.50	93
192142 seq_779	93		33696	96.80	93
193230 seq_914	93		810847	91.40	93
194297 seq_93	93		186578	97.80	93
194373 seq_813	93		301630	93.50	93
194526 seq_750	93		3692061	90.30	93
195185 seq_582	93		530061	96.80	93
195415 seq_806	93		267071	93.50	93
195494 seq_798	93		267071	91.40	93
195950 seq_370	93		97301	87.10	93
19611 seq_418	93		179095	100.00	93
196742 seq_613	93		341823	90.30	93
196918 seq_1081	93		333195	93.50	93
197179 seq_307	93		263546	94.60	93
197233 seq_543	93		295070	89.20	93
197517 seq_206	93		4337970	96.80	93
197539 seq_234	93		309099	91.40	93
197624 seq_215	93		263546	92.50	93
197783 seq_882	93		529506	94.60	93
197988 seq_269	93		341823	93.50	93
198096 seq_630	93		1146188	97.80	93
198133 seq_435	93		198417	96.80	93
1986406 seq_846	93		324328	91.40	93
198893 seq_611	93		14283	91.40	93
199403 seq_1019	93		328816	89.20	93
2006996 seq_958	93		139347	93.50	93
202238 seq_368	93		516809	98.90	93
2035344 seq_774	93		193666	98.90	93
2056702 seq_98	93		191032	93.50	93
2066056 seq_677	93		851865	90.30	93
207252 seq_511	93		263546	96.80	93
207340 seq_693	93		180402	90.30	93
20799 seq_204	93		190084	97.80	93
207994 seq_719	93		174924	91.40	93
208284 seq_155	93		576010	97.80	93
208479 seq_141	93		4333921	93.50	93
208539 seq_420	93		319260	95.70	93
208843 seq_972	93		309693	88.20	93
208901 seq_989	93		261016	91.40	93
209237 seq_603	93		87318	91.40	93
209475 seq_868	93		176582	92.50	93
209845 seq_578	93		267071	89.20	93
211720 seq_151	93		303217	92.50	93
212532 seq_218	93		3479426	92.50	93
212686 seq_501	93		263546	92.50	93
2134134 seq_225	93		248909	90.30	93
2136916 seq_449	93		158404	91.40	93
213870 seq_492	93		3479426	94.60	93
214031 seq_230	93		2594571	91.40	93
215097 seq_94	93		586971	94.60	93
215231 seq_376	93		151902	87.10	93
216550 seq_301	93		196984	88.20	93
217109 seq_572	93		224379	91.40	93
217402 seq_801	93		756593	95.70	93
217928 seq_856	93		4319691	95.70	93
218710 seq_734	93		194106	96.80	93
220978 seq_985	93		3359884	95.70	93
222032 seq_469	93		4307887	96.80	93
2256425 seq_657	93		224379	89.20	93
226450 seq_698	93		4307887	96.80	93
227285 seq_276	93		551008	95.70	93
227697 seq_270	93		294289	95.70	93
227819 seq_504	93		196984	86.00	93
229874 seq_612	93		4474173	92.50	93
229919 seq_53	93		159007	97.80	93
230232 seq_231	93		193666	94.60	93
230360 seq_708	93		232927	96.80	93
2307779 seq_221	93		182420	90.30	93
231952 seq_948	93		4483633	91.40	93
232828 seq_1011	93		268693	94.60	93
232975 seq_169	93		263546	95.70	93
233052 seq_410	93		1129768	90.30	93
233981 seq_144	93		4436545	93.50	93
2339949 seq_30	93		197460	98.90	93
2345806 seq_1187	93		754800	88.20	93
234724 seq_967	93		1105985	81.70	93
234959 seq_314	93		4342143	92.50	93
235212 seq_333	93		182420	83.90	93
235898 seq_167	93		919014	94.60	93
239066 seq_1159	93		940486	87.10	93
2403301 seq_265	93		529506	95.70	93
2407149 seq_32	93		174974	95.70	93
242298 seq_562	93		4434334	95.70	93
2438396 seq_335	93		825815	91.40	93
2442706 seq_409	93		575681	88.20	93
246717 seq_210	93		250302	93.50	93
2480553 seq_1173	93		4304095	98.90	93
248826 seq_1232	93		1107910	92.50	93
248902 seq_161	93		347529	98.90	93
250274 seq_284	93		576010	96.80	93
2506486 seq_272	93		3302038	90.30	93
2532173 seq_160	93		4329132	96.80	93
253584 seq_396	93		250302	95.70	93
256089 seq_864	93		1124893	94.60	93
2574747 seq_854	93		651100	97.80	93
258099 seq_696	93		4466135	82.80	93
2582660 seq_49	93		810847	94.60	93
258461 seq_446	93		270418	95.70	93
258617 seq_912	93		108724	94.60	93
259732 seq_724	93		140910	91.40	93
261774 seq_87	93		241543	89.20	93
2617854 seq_109	93		4307670	86.00	93
262433 seq_831	93		4314518	96.80	93
264791 seq_847	93		4323733	98.90	93
265654 seq_637	93		180402	95.70	93
266148 seq_955	93		203013	93.50	93
266198 seq_800	93		511724	93.50	93
266510 seq_345	93		651100	97.80	93
269386 seq_81	93		248909	90.30	93
269619 seq_451	93		301109	92.50	93
270724 seq_1219	93		4229175	93.50	93
2740950 seq_65	93		190084	90.30	93
2771891 seq_113	93		851865	96.80	93
2771899 seq_67	93		301630	91.40	93
277202 seq_844	93		4338161	88.20	93
279235 seq_994	93		4434334	97.80	93
28218 seq_25	93		529506	93.50	93
282360 seq_198	93		241543	89.20	93
2829179 seq_395	93		514182	94.60	93
2835813 seq_407	93		267071	89.20	93
284413 seq_995	93		208090	95.70	93
286874 seq_539	93		1146188	96.80	93
287875 seq_321	93		182420	90.30	93
288138 seq_596	93		295070	92.50	93
288690 seq_645	93		297638	100.00	93
288780 seq_424	93		4439488	84.90	93
289893 seq_919	93		298963	90.30	93
290186 seq_207	93		126133	96.80	93
290572 seq_588	93		4335376	87.10	93
291202 seq_740	93		301984	94.60	93
291845 seq_660	93		238388	97.80	93
2938041 seq_152	93		195325	94.60	93
2943548 seq_154	93		178438	97.80	93
294791 seq_502	93		181121	93.50	93
2948713 seq_1125	93		108724	92.50	93
295258 seq_405	93		330451	92.50	93
296420 seq_465	93		530061	94.60	93
296577 seq_1039	93		330451	93.50	93
297629 seq_823	93		3479426	91.40	93
297635 seq_220	93		530323	91.40	93
2979308 seq_371	93		325539	91.40	93
2985051 seq_403	93		328816	94.60	93
298624 seq_905	93		311764	93.50	93
298776 seq_1132	93		309030	92.50	93
300102 seq_106	93		289569	97.80	93
300378 seq_540	93		319260	94.60	93
30062 seq_296	93		4141532	92.50	93
300811 seq_200	93		4363681	95.70	93
300829 seq_36	93		215040	97.80	93
3015509 seq_302	93		294289	88.20	93
302632 seq_782	93		2840201	92.50	93
303320 seq_1121	93		189035	90.30	93
304871 seq_247	93		175358	95.70	93
305467 seq_1238	93		339531	97.80	93
306299 seq_626	93		186510	94.60	93
308760 seq_362	93		290285	84.90	93
308970 seq_1055	93		4413327	94.60	93
309695 seq_668	93		1124893	96.80	93
309929 seq_112	93		294289	89.20	93
310979 seq_656	93		331425	93.50	93
311370 seq_121	93		851865	92.50	93
3116381 seq_312	93		248909	88.20	93
311947 seq_92	93		350681	96.80	93
31235 seq_1066	93		4304095	88.20	93
312882 seq_280	93		180402	98.90	93
313089 seq_554	93		337993	94.60	93
313524 seq_757	93		1130573	90.30	93
3138798 seq_44	93		514182	92.50	93
315223 seq_591	93		303574	87.10	93
315846 seq_50	93		4321845	89.20	93
315958 seq_166	93		191183	94.60	93
3160267 seq_275	93		726047	90.30	93
317706 seq_1162	93		4447353	95.70	93
318318 seq_1201	93		352389	94.60	93
318959 seq_849	93		3479426	94.60	93
319044 seq_838	93		307036	91.40	93
3203801 seq_111	93		266421	90.30	93
320915 seq_255	93		580168	93.50	93
321586 seq_899	93		201562	94.60	93
321619 seq_145	93		197460	95.70	93
322505 seq_294	93		173306	93.50	93
3225199 seq_763	93		3792581	90.30	93
3232988 seq_443	93		3232988	100.00	93
3235048 seq_124	93		163874	86.00	93
3236435 seq_99	93		350681	95.70	93
324015 seq_577	93		259771	93.50	93
325353 seq_1089	93		330451	90.30	93
325850 seq_213	93		303217	93.50	93
327818 seq_1227	93		2626509	98.90	93
328472 seq_184	93		4427000	87.10	93
32882 seq_843	93		993578	90.30	93
3293888 seq_710	93		330831	93.50	93
329703 seq_714	93		1141500	84.90	93
3302038 seq_342	93		3302038	100.00	93
332359 seq_1209	93		307352	92.50	93
3325760 seq_126	93		326374	96.80	93
333189 seq_653	93		3302038	95.70	93
333726 seq_867	93		4413327	96.80	93
336012 seq_973	93		183870	100.00	93
336265 seq_303	93		159007	95.70	93
337511 seq_415	93		180402	91.40	93
338553 seq_1231	93		291627	79.60	93
3390534 seq_188	93		266484	91.40	93
339566 seq_425	93		176582	93.50	93
3398150 seq_1054	93		4413327	93.50	93
3398712 seq_133	93		526745	92.50	93
3409358 seq_131	93		183186	91.40	93
3422630 seq_530	93		851865	93.50	93
343740 seq_974	93		4468374	91.40	93
3452790 seq_413	93		4229175	88.20	93
347690 seq_176	93		290002	91.40	93
3479430 seq_599	93		3689413	92.50	93
3480259 seq_1067	93		4294643	92.50	93
349876 seq_983	93		4340746	91.40	93
3522002 seq_494	93		191849	93.50	93
352215 seq_380	93		568309	92.50	93
352392 seq_802	93		4352887	94.60	93
3537197 seq_125	93		181121	94.60	93
3550973 seq_341	93		179663	92.50	93
3557915 seq_308	93		289407	94.60	93
3562626 seq_115	93		364903	100.00	93
356523 seq_876	93		561112	92.50	93
358030 seq_1023	93		3479426	94.60	93
3581686 seq_24	93		174974	100.00	93
358712 seq_377	93		190084	95.70	93
358745 seq_1193	93		206404	95.70	93
3589845 seq_147	93		3589845	100.00	93
359872 seq_83	93		4413256	93.50	93
360238 seq_304	93		4465473	94.60	93
360508 seq_237	93		586971	96.80	93
360890 seq_235	93		337993	91.40	93
3609545 seq_46	93		192234	100.00	93
361864 seq_574	93		1141500	82.80	93
362765 seq_621	93		356075	90.30	93
362948 seq_437	93		362948	100.00	93
363430 seq_60	93		289569	92.50	93
363519 seq_381	93		321924	87.10	93
36378 seq_311	93		35786	95.70	93
364538 seq_244	93		2594574	89.20	93
365385 seq_183	93		2088685	89.20	93
365536 seq_448	93		182420	92.50	93
365670 seq_452	93		4363681	94.60	93
366147 seq_140	93		300853	93.50	93
367814 seq_647	93		303574	86.00	93
367946 seq_475	93		1513052	88.20	93
368412 seq_979	93		303574	86.00	93
368486 seq_427	93		4379140	84.90	93
369994 seq_1020	93		295070	89.20	93
3708846 seq_64	93		330451	91.40	93
3709560 seq_55	93		197460	95.70	93
3746871 seq_544	93		3792581	92.50	93
3805726 seq_208	93		189279	90.30	93
3807100 seq_547	93		3807100	100.00	93
383714 seq_483	93		4141532	93.50	93
3841096 seq_375	93		263546	95.70	93
3841245 seq_430	93		4323733	90.30	93
3856404 seq_364	93		266484	96.80	93
386088 seq_1192	93		108724	87.10	93
3866932 seq_149	93		347740	93.50	93
389371 seq_332	93		309099	90.30	93
3903651 seq_292	93		3302038	97.80	93
3907189 seq_15	93		529506	97.80	93
3926111 seq_1156	93		4410469	94.60	93
3931537 seq_102	93		199568	100.00	93
3943186 seq_57	93		197393	97.80	93
3946926 seq_622	93		340397	95.70	93
3973322 seq_652	93		290908	93.50	93
4004993 seq_114	93		301630	94.60	93
4004998 seq_146	93		182857	97.80	93
4039230 seq_88	93		157054	97.80	93
4045886 seq_22	93		186510	95.70	93
4060501 seq_923	93		255053	92.50	93
4087649 seq_473	93		355100	97.80	93
4090254 seq_45	93		4329132	97.80	93
4130483 seq_541	93		555844	96.80	93
4143073 seq_48	93		512191	95.70	93
4144205 seq_78	93		266421	90.30	93
415160 seq_349	93		4141532	94.60	93
4153054 seq_209	93		330451	96.80	93
4154872 seq_678	93		165732	92.50	93
4168094 seq_1251	93		518033	90.30	93
4191060 seq_52	93		526745	93.50	93
4194837 seq_110	93		190084	94.60	93
4217963 seq_7	93		4329132	98.90	93
4242681 seq_51	93		529506	95.70	93
4268506 seq_399	93		190084	95.70	93
4273894 seq_1046	93		97342	97.80	93
4281639 seq_95	93		193666	97.80	93
4289139 seq_68	93		526745	94.60	93
42931 seq_676	93		697063	94.60	93
4296764 seq_549	93		261187	92.50	93
4298972 seq_939	93		579743	89.20	93
4299126 seq_37	93		303217	93.50	93
4299128 seq_134	93		715138	100.00	93
4300206 seq_453	93		545371	94.60	93
4300690 seq_120	93		293471	88.20	93
4300883 seq_1115	93		4484491	95.70	93
4301511 seq_128	93		337993	98.90	93
4303249 seq_1109	93		4377099	97.80	93
4303851 seq_644	93		267071	88.20	93
4305633 seq_1098	93		180402	89.20	93
4306262 seq_35	93		234298	97.80	93
4307347 seq_1093	93		294399	100.00	93
4308127 seq_228	93		301109	91.40	93
4308835 seq_40	93		2626509	97.80	93
4309760 seq_288	93		302431	95.70	93
4311647 seq_1029	93		1124856	89.20	93
4315100 seq_459	93		189279	91.40	93
4315396 seq_1060	93		265524	100.00	93
4315782 seq_351	93		303571	96.80	93
4316151 seq_896	93		576960	91.40	93
4318125 seq_76	93		183107	96.80	93
4318284 seq_334	93		215040	93.50	93
4320699 seq_564	93		215040	91.40	93
4323124 seq_199	93		552779	98.90	93
4325096 seq_73	93		190084	96.80	93
4325261 seq_328	93		113924	94.60	93
4326091 seq_810	93		294289	89.20	93
4326573 seq_789	93		1117319	95.70	93
4326866 seq_274	93		325539	96.80	93
4326869 seq_793	93		294289	90.30	93
4326870 seq_118	93		215040	100.00	93
4326871 seq_408	93		580377	95.70	93
4327141 seq_23	93		193666	98.90	93
4328026 seq_214	93		366392	91.40	93
4328550 seq_69	93		191183	97.80	93
4328910 seq_233	93		215040	91.40	93
4329575 seq_241	93		158404	98.90	93
4330852 seq_432	93		182420	95.70	93
4331723 seq_372	93		267071	86.00	93
433186 seq_962	93		634455	93.50	93
4332078 seq_298	93		335759	97.80	93
4333237 seq_700	93		516285	90.30	93
4333921 seq_366	93		4333921	98.90	93
4336079 seq_680	93		4406763	96.80	93
4336939 seq_590	93		35786	95.70	93
4336943 seq_185	93		529442	88.20	93
4339160 seq_978	93		4406763	95.70	93
4339358 seq_853	93		352389	92.50	93
4340138 seq_226	93		215040	92.50	93
4340153 seq_1051	93		312619	96.80	93
4341119 seq_841	93		851865	90.30	93
4341886 seq_715	93		293471	93.50	93
4342012 seq_1205	93		4419266	90.30	93
4342104 seq_490	93		293471	89.20	93
4342860 seq_313	93		4359916	97.80	93
4344207 seq_320	93		4399328	91.40	93
4344651 seq_548	93		14283	90.30	93
4344883 seq_80	93		530061	97.80	93
4345543 seq_616	93		93199	97.80	93
4346675 seq_20	93		350681	100.00	93
4349518 seq_445	93		4141532	93.50	93
4349519 seq_224	93		4141532	100.00	93
4356062 seq_329	93		176499	92.50	93
4358322 seq_291	93		337993	94.60	93
4361528 seq_461	93		126133	96.80	93
4362724 seq_521	93		3302038	92.50	93
4363066 seq_491	93		4423236	95.70	93
4364652 seq_528	93		697063	95.70	93
4364747 seq_447	93		319260	93.50	93
4365130 seq_10	93		292052	93.50	93
4365141 seq_434	93		292203	96.80	93
4367187 seq_751	93		4289859	97.80	93
4372003 seq_236	93		194286	97.80	93
4374322 seq_755	93		126133	95.70	93
4375664 seq_866	93		4456252	98.90	93
4376963 seq_662	93		4399328	93.50	93
4377549 seq_1108	93		3359884	98.90	93
4377652 seq_1122	93		4453725	93.50	93
4378081 seq_75	93		3148447	95.70	93
4380971 seq_336	93		4336516	100.00	93
4380976 seq_489	93		4413327	96.80	93
4385507 seq_884	93		367523	95.70	93
4388068 seq_279	93		511724	95.70	93
4393056 seq_950	93		4332266	92.50	93
4393532 seq_306	93		328816	88.20	93
4393962 seq_536	93		4453725	93.50	93
4396248 seq_986	93		755474	92.50	93
4397092 seq_217	93		328816	92.50	93
4397098 seq_177	93		568677	84.90	93
4398028 seq_97	93		196844	93.50	93
4398588 seq_423	93		2475156	95.70	93
4398613 seq_938	93		4400480	95.70	93
4401957 seq_880	93		250302	93.50	93
4402537 seq_346	93		589920	83.90	93
4404181 seq_1072	93		179663	90.30	93
4404220 seq_414	93		708925	95.70	93
4404459 seq_952	93		589358	93.50	93
4404477 seq_812	93		201562	96.80	93
4410166 seq_3	93		333042	97.80	93
4412541 seq_352	93		294289	98.90	93
4415649 seq_669	93		150483	93.50	93
4415943 seq_788	93		4455886	95.70	93
4423553 seq_127	93		181986	96.80	93
4423750 seq_883	93		2373126	95.70	93
4423790 seq_631	93		246308	91.40	93
4425214 seq_117	93		4399328	94.60	93
4426298 seq_384	93		904322	82.80	93
4426438 seq_12	93		195496	96.80	93
4426972 seq_1124	93		4388133	97.80	93
4428119 seq_527	93		144239	92.50	93
4428313 seq_650	93		4413327	93.50	93
4429335 seq_157	93		107161	84.90	93
4429557 seq_232	93		4413327	100.00	93
4429981 seq_324	93		289569	96.80	93
4430826 seq_1175	93		1927234	97.80	93
4430843 seq_107	93		3623262	90.30	93
4431803 seq_150	93		3359884	98.90	93
4434334 seq_170	93		4434334	100.00	93
4434579 seq_82	93		4434579	100.00	93
4435065 seq_837	93		551008	94.60	93
4435655 seq_17	93		303217	90.30	93
4437362 seq_79	93		183870	95.70	93
4438999 seq_690	93		851865	89.20	93
4439469 seq_173	93		350681	95.70	93
4441081 seq_245	93		366392	88.20	93
4442130 seq_248	93		4399328	96.80	93
4442899 seq_946	93		181717	93.50	93
4447072 seq_5	93		183870	100.00	93
4447950 seq_9	93		3148447	96.80	93
4450795 seq_193	93		126133	100.00	93
4451251 seq_649	93		366392	90.30	93
4451477 seq_478	93		309030	100.00	93
4453550 seq_175	93		4453550	100.00	93
4453609 seq_27	93		529442	87.10	93
4453743 seq_893	93		4409658	91.40	93
4453773 seq_108	93		4413256	95.70	93
4454432 seq_101	93		530061	95.70	93
4454586 seq_85	93		1143742	90.30	93
4454839 seq_178	93		559954	100.00	93
4456252 seq_1018	93		4456252	100.00	93
4456606 seq_119	93		248909	90.30	93
4457032 seq_1197	93		236255	98.90	93
4457438 seq_86	93		526745	97.80	93
4457872 seq_34	93		183870	96.80	93
4459634 seq_254	93		4336516	98.90	93
4461490 seq_300	93		4358107	95.70	93
4462599 seq_467	93		144333	92.50	93
4463108 seq_266	93		4413327	93.50	93
4465072 seq_28	93		851865	93.50	93
4465746 seq_309	93		4289859	98.90	93
4466150 seq_316	93		4423236	100.00	93
4466203 seq_1031	93		3623262	96.80	93
4466275 seq_623	93		176499	88.20	93
4466843 seq_343	93		4455886	96.80	93
4467447 seq_8	93		3148447	96.80	93
4468234 seq_1	93		4348122	97.80	93
4468809 seq_1191	93		173306	100.00	93
4468892 seq_727	93		303574	86.00	93
4468965 seq_174	93		3792581	94.60	93
4469722 seq_580	93		851822	95.70	93
4471251 seq_743	93		4423236	97.80	93
4471279 seq_285	93		3359884	100.00	93
4472195 seq_713	93		267071	92.50	93
4473883 seq_872	93		4399328	93.50	93
4474759 seq_142	93		514137	92.50	93
4476527 seq_16	93		851865	95.70	93
4476548 seq_807	93		294399	96.80	93
4476780 seq_84	93		529442	92.50	93
4476936 seq_1009	93		195674	86.00	93
4476950 seq_256	93		503372	98.90	93
4477696 seq_77	93		708925	97.80	93
4477861 seq_63	93		183870	96.80	93
4478125 seq_6	93		851865	97.80	93
4478815 seq_19	93		195674	100.00	93
4479397 seq_42	93		4483176	96.80	93
4479405 seq_402	93		289174	96.80	93
4479989 seq_212	93		4399328	97.80	93
4480176 seq_13	93		289569	100.00	93
4480189 seq_264	93		518033	100.00	93
4481131 seq_2	93		851865	100.00	93
4481613 seq_38	93		4335376	87.10	93
4482516 seq_105	93		2157225	100.00	93
4482598 seq_826	93		126133	91.40	93
4482944 seq_663	93		292203	95.70	93
4483046 seq_123	93		4333921	93.50	93
455407 seq_466	93		4141532	90.30	93
465989 seq_500	93		4323733	89.20	93
471157 seq_797	93		724147	88.20	93
48084 seq_72	93		294289	96.80	93
484439 seq_1041	93		3541724	86.00	93
494971 seq_605	93		166429	95.70	93
495007 seq_192	93		240970	87.10	93
495017 seq_391	93		495086	98.90	93
495067 seq_398	93		501876	100.00	93
495451 seq_211	93		246308	88.20	93
503372 seq_463	93		503372	100.00	93
504674 seq_589	93		4141532	97.80	93
505251 seq_638	93		4141532	95.70	93
505670 seq_91	93		259604	98.90	93
50765 seq_961	93		344789	95.70	93
510524 seq_1174	93		176499	89.20	93
513103 seq_163	93		73760	95.70	93
514257 seq_153	93		110660	97.80	93
518040 seq_913	93		303937	95.70	93
520720 seq_422	93		2626509	91.40	93
523577 seq_290	93		4229175	91.40	93
524444 seq_702	93		191183	94.60	93
524633 seq_602	93		524633	100.00	93
526682 seq_534	93		4403574	92.50	93
527507 seq_816	93		4352887	93.50	93
527714 seq_1006	93		327512	90.30	93
